video_id,label
0399,0
0175,0
0317,0
0640,1
0152,0
0079,0
0156,0
0063,0
0415,1
0327,0
0191,0
0226,0
0078,0
0622,1
0388,0
0424,1
0235,0
0623,1
0708,1
0416,1
0230,0
0479,1
0326,0
0787,1
0474,1
0453,1
0343,0
0586,1
0641,1
0215,0
0575,1
0557,1
0089,0
0124,0
0313,0
0345,0
0477,1
0515,1
0316,0
0042,0
0752,1
0242,0
0105,0
0298,0
0733,1
0164,0
0398,0
0561,1
0139,0
0609,1
0671,1
0383,0
0729,1
0107,0
0011,0
0123,0
0543,1
0511,1
0611,1
0393,0
0356,0
0569,1
0002,0
0499,1
0192,0
0200,0
0519,1
0772,1
0180,0
0095,0
0700,1
0003,0
0004,0
0056,0
0362,0
0758,1
0064,0
0542,1
0309,0
0371,0
0489,1
0562,1
0051,0
0723,1
0031,0
0075,0
0167,0
0328,0
0006,0
0675,1
0509,1
0354,0
0552,1
0454,1
0233,0
0194,0
0285,0
0312,0
0404,1
0367,0
0033,0
0461,1
0725,1
0633,1
0231,0
0537,1
0250,0
0520,1
0420,1
0426,1
0707,1
0457,1
0178,0
0026,0
0484,1
0408,1
0301,0
0135,0
0294,0
0329,0
0376,0
0394,0
0138,0
0346,0
0626,1
0161,0
0472,1
0762,1
0659,1
0593,1
0198,0
0162,0
0293,0
0450,1
0737,1
0672,1
0218,0
0510,1
0644,1
0684,1
0193,0
0319,0
0260,0
0466,1
0288,0
0649,1
0181,0
0232,0
0308,0
0606,1
0696,1
0070,0
0613,1
0504,1
0222,0
0213,0
0049,0
0455,1
0702,1
0580,1
0185,0
0261,0
0642,1
0710,1
0667,1
0480,1
0731,1
0670,1
0217,0
0348,0
0077,0
0742,1
0764,1
0516,1
0340,0
0550,1
0046,0
0776,1
0159,0
0653,1
0778,1
0627,1
0751,1
0297,0
0517,1
0263,0
0110,0
0062,0
0540,1
0686,1
0154,0
0559,1
0390,0
0591,1
0565,1
0650,1
0698,1
0129,0
0134,0
0036,0
0188,0
0681,1
0202,0
0168,0
0030,0
0798,1
0584,1
0551,1
0436,1
0768,1
0275,0
0204,0
0142,0
0434,1
0602,1
0321,0
0224,0
